folio,unidad,trim,region,ciudad,punto,turno,sexo,edad,nacio,origen,viveloc,paisvive,razon,trabaja,regresa,p1,p1_1,p1_1_1,p1_1_1_1_1,p1_1_1_1_2,p1_2,p2,p2_1,p2_1_1a,p2_1_1n,p2_1_2a,p2_1_2n,p3,p4,p4_1,p5,p6,p7,p8,p8_1,p9,p9_1_1,p9_1_2,p9_1_3,p9_2,p9_3,p10p,p10e,p10m,p10u,p11,p11_1p,p11_1e,p11_1m,p11_1u,p11_1u_b,p12,p13,p13_1_1,p13_1_2,p13_1_3,p13_1_4,p13_1_5,p13_1_6,p13_1_7,p13_1_8,p13_1_9,p13_1_10,p14,p14_1,p14_2,p14_3,p14_3_1c,p14_3_1t,p14_4,p15_1,p15_2,p15_3,p15_4,p15_4_1,p15_5,p15_6,p15_7c,p15_7u,p15_7t,p15_8,p15_9,p15_10,p15_11,p15_12_1,p15_12_2,p15_12_3,p15_12_4,p15_12_5,p15_12_6,p15_12_7,p15_13,p15_13_1_1,p15_13_1_2,p16_1,p16_2,p16_3,p17,p18,p19,p19_1,p20c,p20t,p20_1_0_1,p20_1_0_2,p20_1_0_3,p20_1_0_4,p20_1_0_5,p20_1_0_6,p20_2,p20_3,p20_4,p20_4_1,p21,p21_1,p21_2,p21_3,p22,p22_1,p22_2c,p22_2u,p23,p24,p24_1,p25,p25_1es,p25_1cn,p25_1cd,p25_2_1,p25_2_2,p25_2_3,p25_2_4,p25_2_5,p25_3,p26c,p26t,p27,p27_1,p27_2,p27_3c,p27_3t,p28_1,p28_2,p28_3,p28_4,p29,p29_1,p30,p30_1,p31,p32,p33,p34,p34_1,p35,p36,p37,p37_1_1,p37_1_2,p37_1_3,p37_1_4,p37_1_5,p37_1_6,p38_1,p38_2,p38_3,p38_4,p39_1,p39_2,p39_3,oficio_origen,nivel,lug_des,filtro,estrato,upm,ponfin3
81911,82011,4,1,2,2,2,1,22,1,-2,2,1,7,-8,-8,0,-9,-9,-9,-9,-9,2,-12,-12,-12,-12,-12,2,2,2,6,2,6,2,2,8,2,5,1,3,2,2,-19,-19,-19,-19,-19,-19,-19,-19,-19,1,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,1,-23,1,-25,-25,-25,-25,521,2,2,2,-31,4,7,9999999,99,99,1,1,812,5,2,2,-32,2,2,2,2,98,98,98,521,996,996,2,1,-34,-34,6,3,1,2,2,1,2,2,2,3,97,97,97,97,999999997,98,2,-39,-39,-39,97,98,98,98,98,99998,9999999998,3,2,2,2,2,98,997,97,2,-43,-43,-43,-43,2,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,1,2,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,2,2,2,5,0, , ,12022,12022082011,172.514362962639
400312,302012,4,4,1,3,2,1,41,1,-2,2,1,5,2,2,1,0,-10,-10,-10,0,1,1,2,3,-15,-15,-15,2,2,6,2,5,1,-17,4,2,2,0,2,1,1,8,8013,97,1,-20,-20,-20,-20,97,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,1,-23,1,-25,-25,-25,-25,611,1,2,2,-31,8,7,1500,1,3,1,2,111,6,2,2,-32,2,2,2,2,2,-33,-33,611,524,996,2,1,-34,-34,777,7,2,1,2,1,2,1,1,4,1,3,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,-43,-43,-43,-43,2,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,1,41032,41032302012,2396.3227925
521711,212011,4,7,1,1,3,1,17,1,-2,2,1,3,2,2,0,-9,-9,-9,-9,-9,1,1,3,2,-15,-15,-15,2,2,6,2,6,2,2,5,1,4,0,2,2,1,21,21062,1,1,-20,-20,-20,-20,1,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,1,-23,1,-25,-25,-25,-25,731,1,2,2,-31,7,6,120,1,2,3,2,327,5,2,2,-32,2,2,2,2,3,-33,-33,998,996,996,4,1,-34,-34,18,6,2,2,2,1,2,1,1,4,1,7,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,-43,-43,-43,-43,2,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,2,2,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,2,2,2,2,4,2,1,71013,71013212011,1989.53538921316
490411,212011,4,7,1,1,3,1,17,1,-2,2,1,3,2,2,0,-9,-9,-9,-9,-9,1,1,1,3,-15,-15,-15,2,2,3,2,6,2,2,5,0,5,0,3,2,1,2,2004,2,2,1,11,11015,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,4,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,-33,-33,999,996,996,4,2,2,2019,997,97,2,2,2,2,2,2,1,4,2,-37,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,-43,-43,-43,-43,2,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,-1,5,2,1,71013,71013212011,1989.53538921316
485011,212011,4,7,1,1,3,2,24,1,-2,2,1,3,2,2,1,1,3,-11,-11,0,1,1,4,9,-15,-15,-15,2,2,6,2,6,2,2,5,0,5,0,2,2,1,30,30087,2,1,-20,-20,-20,-20,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,4,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,-33,-33,999,996,996,4,1,-34,-34,2,5,2,1,2,2,2,1,1,4,2,-37,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,-43,-43,-43,-43,2,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,1,1,2,1,2,2,2,99,2,2,2,2,2,2,2,-1,7,2,1,71013,71013212011,1989.53538921316
262511,122011,4,7,1,1,3,2,27,1,-2,2,1,3,2,2,4,0,-10,-10,-10,3,1,1,2,8,-15,-15,-15,2,2,3,2,6,2,2,5,0,4,1,2,2,1,2,2001,2,1,-20,-20,-20,-20,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,4,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,-33,-33,998,996,996,4,4,2,2020,3,5,2,1,2,2,2,2,1,4,2,-37,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,6,2,20,6,1,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,-1,7,2,1,71013,71013122011,1548.16079928476
259911,122011,4,7,1,1,3,2,53,1,-2,2,1,3,2,2,0,-9,-9,-9,-9,-9,1,1,2,2,-15,-15,-15,2,2,6,2,5,1,-17,4,0,3,0,1,2,1,10,10007,2,1,-20,-20,-20,-20,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,5,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,-33,-33,999,996,996,4,2,2,2020,3,5,2,1,2,2,2,2,1,4,2,-37,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,-43,-43,-43,-43,2,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-1,3,2,1,71013,71013122011,1548.16079928476
218712,162012,4,1,2,1,2,2,47,1,-2,2,1,5,2,2,2,0,-10,-10,-10,0,1,1,3,9,-15,-15,-15,2,2,1,2,3,1,-17,3,2,1,0,1,1,1,21,21017,97,1,-20,-20,-20,-20,97,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,3,-33,-33,212,996,996,1,1,-34,-34,5,5,2,1,2,1,1,1,1,3,2,-37,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-1,7,2,1,12012,12012162012,1544.179584676
363512,272012,4,4,1,2,3,1,28,1,-2,2,1,7,-8,-8,1,0,-10,-10,-10,0,1,1,3,3,-15,-15,-15,2,2,6,2,5,1,-17,3,1,2,0,2,1,1,26,26013,97,1,-20,-20,-20,-20,97,1,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,1,-23,2,2,1,5,4,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,2,-33,-33,263,712,996,2,1,-34,-34,777,7,2,1,2,1,2,1,1,4,1,5,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,-43,-43,-43,-43,1,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,2,2,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,2,2,2,-1,6,2,1,41023,41023272012,910.60266115
7911,12011,4,1,2,1,3,2,26,1,-2,2,1,5,2,2,0,-9,-9,-9,-9,-9,1,1,3,8,-15,-15,-15,2,2,1,2,6,1,-17,1,-18,-18,-18,-18,-18,1,15,15034,97,1,-20,-20,-20,-20,97,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,1,-23,1,-25,-25,-25,-25,423,2,1,1,2,10,2,9999999,99,99,1,3,462,2,2,2,2,2,2,2,2,3,-33,-33,423,996,321,2,1,-34,-34,997,97,2,1,2,1,2,1,2,5,1,6,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,-43,-43,-43,-43,2,2,2,2,2,2,0,-46,-46,-46,-46,-46,-46,-46,1,2,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,1,2,2,4,7,2,1,12013,12013012011,827.666576798347
