folio,trim,unidad,region,ciudad,punto,turno,sexo,edad,nacio,origen,viveloc,paisvive,razon,trabaja,regresa,p1,p1_1,p1_2,p1_2_1,p1_2_2,p1_3,p2,p2_1,p2_1_1a,p2_1_1n,p2_1_2a,p2_1_2n,p3,p4,p4_1,p4_2,p5,p5_1,p6,p7,p7_1,p8,p8_1,p8_2,p9p,p9e,p9m,p9u,p9_1,p9_2p,p9_2e,p9_2m,p9_2u,p9_2u_b,p10,p10_1_0_1,p10_1_0_2,p10_1_0_3,p10_1_0_4,p10_1_0_5,p10_1_0_6,p10_1_0_7,p10_1_0_8,p10_1_1c,p10_1_1u,p10_2_1,p10_2_2,p10_2_3,p10_2_4,p10_2_5,p11,p11_1,p11_2,p11_3,p11_3_1c,p11_3_1t,p11_4,p12_1,p12_2,p12_3,p12_4,p12_4_1,p12_5,p12_6,p12_7c,p12_7u,p12_7t,p12_7_1,p12_8,p12_9,p12_10,p12_11,p12_12,p12_13_1,p12_13_2,p12_13_3,p12_13_4,p12_13_5,p12_13_6,p12_13_7,p12_14,p12_14_1_1,p12_14_1_2,p12_14_1_3,p12_14_1_4,p12_14_1_5,p12_14_1_6,p12_14_1_7,p12_14_1_8,p12_14_1_9,p13,p13_1,p14,p15,p15_1,p16c,p16t,p16_1_1,p16_1_2,p16_1_3,p16_1_4,p16_1_5,p16_1_6,p16_2,p16_3,p16_4,p16_4_1,p17,p17_1,p17_2,p17_3,p18,p18_1,p18_2c,p18_2u,p19,p20,p20_1,p21,p21_1es,p21_1cn,p21_1cd,p21_2_1,p21_2_2,p21_2_3,p21_2_4,p21_2_5,p21_3,p22c,p22t,p23,p23_1,p23_2,p23_3c,p23_3t,p24,p24_1,p24_2,p24_3c,p24_3t,p25_1,p25_2,p25_3,p25_4,p26,p26_1,p26_2,p27m,p27a,p28,p29,p30,p31,p32c,p32t,p33,p34,p35_1,p35_2,p36,p37,p38_1,p38_2,p38_3,p38_4,p39_1,p39_2,p39_3,p39_4,p40_1,p40_2,p40_3,lug_des,filtro,ponfin3,t2mp1,t2mp1_1_1,t2mp1_1_2,t2mp1_1_3,t2mp1_1_4,t2mp1_1_5,t2mp1_2_1,t2mp1_2_2,t2mp1_2_3,t2mp1_2_4,t2mp1_2_5,t2mp1_3,t2mp2
28421,1,41703,1,2,2,3,2,28,1,-2,2,1,7,-7,-7,2,2,2,1,1,2,1,1,3,2,-15,-15,-15,2,2,2,2,-18,3,1,-19,3,1,1,1,15,15019,1,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,1,2,1,-25,1,-27,-27,-27,-27,521,1,2,2,-33,8,6,1200,1,3,1,1,2,812,1,3,2,2,2,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,3,4,2,1,1,1,2,1,1,4,1,6,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,1,2,2,2,2,2,2,2,2,2,2,2,1,80.0258834084727, , , , , , , , , , , , , 
28430,1,41703,1,2,2,3,1,28,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,3,2,-15,-15,-15,2,2,2,2,-18,3,2,2,3,3,2,1,21,21001,1,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,1,-25,1,-27,-27,-27,-27,761,2,2,2,-33,8,6,9999999,99,99,1,2,2,327,4,4,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,1,2,1,-38,-38,997,97,2,1,1,1,2,1,2,4,1,7,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,3,1,2,2,2,2,2,1,2,2,2,2,2,1,122.415831224236, , , , , , , , , , , , , 
28495,1,41703,7,1,1,3,2,54,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,3,2,-15,-15,-15,2,2,2,2,-18,5,1,-19,3,2,2,1,15,15033,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,1,2,1,2,1,-25,2,2,1,3,1,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,1,2,1,1,1,1,2,-36,1,-37,1,2,1,-38,-38,666,6,2,1,2,1,2,2,1,4,1,4,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,3,1,1,2,2,2,2,2,2,97,97,97,2,1,183.812926913638, , , , , , , , , , , , , 
28549,1,41703,7,1,1,3,1,28,1,-2,2,1,8,-7,-7,2,2,1,1,1,2,1,1,4,7,-15,-15,-15,2,2,2,1,1,5,1,-19,3,1,1,1,14,14039,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,97,97,1,1,1,-25,1,-27,-27,-27,-27,214,1,1,1,2,8,5,9999999,99,99,2,1,3,621,1,2,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,666,6,2,1,1,1,1,1,1,4,2,-41,1,2,20040001,3,2,-43,-43,-43,1,1,6,1,6,6073,607313392,2,2,2,2,1,1,666,6,1,3,1,5,2,1,1,1,6,1,1,1,1,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,2,1,2,2,2,2,2,2,2,2,2,3,1,175.187711371226, , , , , , , , , , , , , 
28557,1,41703,7,1,1,3,1,63,1,-2,2,1,4,2,2,1,-9,-9,-9,-9,-9,1,1,3,2,-15,-15,-15,2,2,2,1,3,2,1,-19,1,-20,-20,1,11,11025,1,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,1,1,-25,2,5,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,4,2,1,-38,-38,2,4,2,1,1,1,1,1,1,0,2,-41,1,1,20040001,3,2,-43,-43,-43,3,-45,-45,1,6,6037,603744000,3,2,2,1,2,1,2,4,2,-47,-47,-47,-47,2,-50,-50,-50,-50,98,98,98,98,98,9998,98,98,9998,999999998,98,98,98,998,98,98,98,998,998,98,98,98,98,98,98,98,98,98,98,98,98,98,3,1,175.187711371226, , , , , , , , , , , , , 
28667,1,41703,7,1,1,3,1,25,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,3,3,-15,-15,-15,2,2,2,2,-18,1,1,-19,3,2,1,1,25,25012,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,97,97,97,97,97,2,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,1,2,1,-38,-38,3,4,2,1,1,1,2,1,2,98,98,98,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,98,98,98,998,98,98,98,98,998,98,98,98,98,98,98,9998,98,98,9998,999999998,98,98,98,998,98,98,98,998,998,98,98,98,98,98,98,98,98,98,98,98,98,98,2,1,183.812926913638, , , , , , , , , , , , , 
28710,1,41703,7,1,1,3,2,77,1,-2,2,1,3,2,2,2,1,0,-10,-10,1,1,1,5,1,-14,-14,1,2,1,2,2,-18,5,2,1,2,0,2,1,16,16108,2,1,-22,-22,-22,-22,2,1,2,2,2,2,1,2,2,2,1150,1,2,2,2,1,1,1,-25,2,5,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,4,2,1,-38,-38,6,4,2,1,2,1,2,1,1,4,2,-41,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,3,2,1,2,2,1,1,1,1,97,97,97,2,1,183.812926913638, , , , , , , , , , , , , 
28717,1,41703,7,1,1,3,2,33,1,-2,2,1,2,2,2,2,2,2,1,1,2,1,1,3,3,-15,-15,-15,2,2,2,1,1,5,1,-19,4,1,2,1,1,1001,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,97,97,97,1,1,1,-25,2,4,-29,-29,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,4,2,1,-38,-38,36,2,2,1,1,1,2,1,1,4,2,-41,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,1,3,1,10,2,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,2,2,2,2,2,2,2,2,97,97,97,2,1,183.812926913638, , , , , , , , , , , , , 
28763,1,41703,7,1,1,3,2,43,1,-2,2,1,3,2,2,1,-9,-9,-9,-9,-9,1,1,3,2,-15,-15,-15,2,2,2,2,-18,5,1,-19,6,2,2,1,25,25012,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,1,1,2,5,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,3,-35,-35,-35,-35,-35,-35,-35,-35,-35,4,2,1,-38,-38,32,2,2,1,1,1,1,1,1,4,2,-41,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,1,3,1,6,2,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,2,1,2,2,2,2,2,2,97,97,97,2,1,183.812926913638, , , , , , , , , , , , , 
28916,1,51703,1,2,1,2,1,41,1,-2,2,1,7,-7,-7,2,1,0,-10,-10,0,1,1,3,2,-15,-15,-15,2,2,2,2,-18,5,2,1,3,1,1,1,27,27002,1,1,-22,-22,-22,-22,2,1,1,2,2,2,2,2,1,2,1500,1,1,2,2,1,2,1,-25,1,-27,-27,-27,-27,731,1,2,1,1,8,6,4500,1,4,1,2,2,337,1,1,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,6,3,2,1,1,2,2,1,1,4,1,6,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,3,2,2,1,2,2,2,1,2,2,2,2,2,1,16.9881920638766, , , , , , , , , , , , , 
